name,sold,price,rating
ESQA Minimalist Blurring Serum Skin Tint SPF 35 PA++,349 Sold( 106 )Tangerang City,"Rp119,000",
ESQA Goddess Eyeshadow Palette,2.6K Sold( 726 )Tangerang City,"Rp135,000",
ESQA Flawless Cushion Serum SPF 50+ PA+++ - Satin,4.6K Sold( 1351 )Tangerang City,"Rp101,500",
ESQA Bronzer,465 Sold( 118 )Tangerang City,"Rp. 79,000",
ESQA Trio Goddess Cheek Palette,2.0K Sold( 553 )Tangerang City,"Rp. 155,000",
ESQA Lip Gloss,2.6K Sold( 726 )Tangerang City,"Rp. 52,500",
ESQA Glow Pop Serum Lip Balm,246 Sold( 96 )Tangerang City,"Rp92,000",
ESQA Wonder Crush Serum Liquid Blush,1.0K Sold( 323 )Tangerang City,"Rp. 89,000",
ESQA Flawless Liquid Concealer,7.4K Sold( 2213 )Tangerang City,"Rp99,000",
[NEW LAUNCH] ESQA Flawless Cushion Serum SPF 50+ PA++++ Velvet Matte,84 Sold( 26 )Tangerang City,"Rp. 155,000",
ESQA Flawless Liquid Mini Corrector,397 Sold( 143 )Tangerang City,"Rp. 56,050",
ESQA Refill Cloud Kiss Powder Lipstick,33 Sold( 17 )Tangerang City,"Rp. 79,000",
ESQA Primer Serum,415 Sold( 105 )Tangerang City,"Rp80,500",
ESQA Glaze Eyeshadow Trio,875 Sold( 363 )Tangerang City,"Rp. 75,000",
ESQA Cloud Kiss Refillable Powder Lipstick,159 Sold( 59 )Tangerang City,"Rp86,250",
ESQA Flawless Liquid Mini Concealer,6.5K Sold( 2217 )Tangerang City,"Rp. 56,050",
ESQA Flawless Powder Foundation,8.0K Sold( 2236 )Tangerang City,"Rp99,000",
ESQA Flawless Setting Powder,2.8K Sold( 828 )Tangerang City,"Rp99,000",
ESQA Supreme Hybrid Sun Stick SPF 50+ PA++++,281 Sold( 109 )Tangerang City,"Rp102,200",
ESQA Flawless Liquid Corrector,1.0K Sold( 235 )Tangerang City,"Rp99,000",
ESQA Slick Drip Serum Lip Tint,1.1K Sold( 404 )Tangerang City,"Rp. 69,000",
ESQA Minimalist Serum Concealer,201 Sold( 61 )Tangerang City,"Rp. 56,050",
ESQA Pocket Perfect Face Palette,Tangerang City,"Rp. 165,000",
[NEW LAUNCH] - ESQA Bitty Balm Stick Blush,6 SoldTangerang City,"Rp102,000",
ESQA Blurred Haze Velvet Lip Tint,292 Sold( 110 )Tangerang City,"Rp74,250",
ESQA Mist Universe Setting Spray,1.0K Sold( 286 )Tangerang City,"Rp. 65,000",
ESQA Blush On,1.7K Sold( 498 )Tangerang City,"Rp. 82,000",
ESQA Minimalist Eye Tint Corrector,39 Sold( 12 )Tangerang City,"Rp99,000",
ESQA Freeze Tinted Brow Mascara,725 Sold( 215 )Tangerang City,"Rp108,500",
ESQA Brow Pomade Pencil,1.5K Sold( 508 )Tangerang City,"Rp. 82,000",
ESQA Dream Lash Serum Mascara,178 Sold( 65 )Tangerang City,"Rp. 70,000",
ESQA Waterproof Intense Eyeliner,1.5K Sold( 406 )Tangerang City,"Rp. 85,000",
ESQA Brow Stroke Pencil,796 Sold( 181 )Tangerang City,"Rp. 82,000",
