name,address,image_url,promo,href,menu
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Âu Cơ","159 Âu Cơ, P. 14, Quận 11, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjk7nwovvyc8@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-au-co,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ', 'Trà Kombucha Táo': '39.200đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Âu Cơ","159 Âu Cơ, P. 14, Quận 11, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Hồng Đào","10 Nguyễn Hồng Đào, P. 14, Tân Bình, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkddidgn6dd@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-nguyen-hong-dao,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Cóc': '43.000đ', 'Nước Ép Cà Rốt': '46.000đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Hồng Đào","10 Nguyễn Hồng Đào, P. 14, Tân Bình, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Đường Số 7","176 Đường Số 7 Khu Dân Cư Trung Sơn, X.Bình Hưng, Bình Chánh, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkaeooc2if4@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-duong-so-7,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Cóc': '34.400đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Đường Số 7","176 Đường Số 7 Khu Dân Cư Trung Sơn, X.Bình Hưng, Bình Chánh, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Sơn","146 Nguyễn Sơn, P. Phú Thọ Hòa, Tân Phú, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkcghodacb2@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-nguyen-son,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '46.000đ', 'Nước Ép Cóc': '34.400đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Sơn","146 Nguyễn Sơn, P. Phú Thọ Hòa, Tân Phú, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Thăng Long","57 Thăng Long, P. 4, Tân Bình, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkfr8ujoaca@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-thang-long,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '30.000đ', 'Nước Ép Thơm': '32.250đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '34.500đ', 'Nước Ép Bưởi - BÁN CHẠY': '34.500đ', 'Nước Ép Táo': '36.750đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '30.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '32.250đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '32.250đ', 'Nước Ép Chanh ""YAY"" Táo': '34.500đ', 'Trà Kombucha Nguyên Bản': '33.750đ', 'Trà Kombucha Ổi - NÊN THỬ': '33.750đ', 'Trà Kombucha Táo': '36.750đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Thăng Long","57 Thăng Long, P. 4, Tân Bình, TP. HCM",,Giảm món,,{}
