url,title,meta_description,scraped_at,text_length,num_links,num_images,custom_paragraphs,custom_divs
https://shopeefood.vn/ho-chi-minh/food,,,2025-06-01 17:49:01,0,0,0,,", "
https://example.com,Example Domain,,2025-06-01 17:49:05,213,1,0,"This domain is for use in illustrative examples in documents. You may use this
    domain in literature without prior coordination or asking for permission., More information...","Example Domain
This domain is for use in illustrative examples in documents. You may use this
    domain in literature without prior coordination or asking for permission.
More information..."
