name,adress,image_url,promo,href,menu
Trà Sữa Maycha - Hậu Giang,"70 Hậu Giang, P. 6, Quận 6, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnls5tbam99@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-hau-giang,"{'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Hậu Giang,"70 Hậu Giang, P. 6, Quận 6, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Đường Số 1,"161 Đường số 1, P. Bình Trị Đông B, Bình Tân, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnb1xik5e37@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-duong-so-1,"{'Combo Blooming 1': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'Ăn Vặt Có Gu 1': '40.000đ', 'Ăn Vặt Có Gu 2': '51.000đ'}"
Trà Sữa Maycha - Đường Số 1,"161 Đường số 1, P. Bình Trị Đông B, Bình Tân, TP. HCM",,Giảm món,,{}
Trà Sữa MayCha - Hà Tôn Quyền,"127 Hà Tôn Quyền, P. 4, Quận 11, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hniwy0e9wcf@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-ha-ton-quyen,"{'Combo Blooming 5': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa MayCha - Hà Tôn Quyền,"127 Hà Tôn Quyền, P. 4, Quận 11, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Lê Đức Thọ,"742 Đ. Lê Đức Thọ, P.16, Gò Vấp, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hneupyc628d@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-le-duc-tho,"{'Combo Blooming 1': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'Ăn Vặt Có Gu 2': '51.000đ', 'Ăn Vặt Có Gu 1': '40.000đ'}"
Trà Sữa Maycha - Lê Đức Thọ,"742 Đ. Lê Đức Thọ, P.16, Gò Vấp, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - 38 Trịnh Đình Trọng,"38 Trịnh Đình Trọng, P. Phú Trung, Tân Phú, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnpc2m4nua8@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-may-cha-38-trinh-dinh-trong,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - 38 Trịnh Đình Trọng,"38 Trịnh Đình Trọng, P. Phú Trung, Tân Phú, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - 111 Lê Trọng Tấn,"111 Lê Trọng Tấn, P. Sơn Kỳ, Tân Phú, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnqisvlny0a@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-111-le-trong-tan,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - 111 Lê Trọng Tấn,"111 Lê Trọng Tấn, P. Sơn Kỳ, Tân Phú, TP. HCM",,Giảm món,,{}
Trà Sữa Maycha - Điện Biên Phủ,"479 Điện Biên Phủ, P. 25, Bình Thạnh, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnd6ieg6m5a@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-dien-bien-phu,"{'Combo Blooming 3': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Điện Biên Phủ,"479 Điện Biên Phủ, P. 25, Bình Thạnh, TP. HCM",,Flash Sale,,{}
Trà sữa Maycha - Tô Hiến Thành,"177 Tô Hiến Thành, P. 13, Quận 10, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hni437zoub0@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-to-hien-thanh,"{'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà sữa Maycha - Tô Hiến Thành,"177 Tô Hiến Thành, P. 13, Quận 10, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Ngô Tất Tố,"65 Ngô Tất Tố, P. 21, Bình Thạnh, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnc5vw1nya9@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-ngo-tat-to,"{'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'Bánh Tráng Phơi Sương Muối Sa Tế Tỏi ': '20.000đ', 'Bánh Tráng Sate Rong Biển': '10.000đ'}"
Trà Sữa Maycha - Ngô Tất Tố,"65 Ngô Tất Tố, P. 21, Bình Thạnh, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Phổ Quang,"128 Đường Phổ Quang, P. 9, Phú Nhuận, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hngidj34262@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-pho-quang,"{'Combo Blooming 5': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Phổ Quang,"128 Đường Phổ Quang, P. 9, Phú Nhuận, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Nguyễn Xí,"198 Nguyễn Xí, P. 26, Bình Thạnh, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnco75aiq60@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-nguyen-xi,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Nguyễn Xí,"198 Nguyễn Xí, P. 26, Bình Thạnh, TP. HCM",,Flash Sale,,{}
