name,address,image_url,promo,href,menu
Gà Rán Popeyes - Quốc Lộ 50,"411 Liên Tỉnh 5, P. 5, Quận 8, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9sbd9kqs0d@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/ga-ran-popeyes-quoc-lo-50,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'Combo PopWings 1P': '79.000đ', 'Combo PopWings 2P': '199.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Spicy Pop Wings': '79.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Red Hot Honey Pop Wings': '85.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Ăn Ngon Rẻ - Gà Popcorn': '25.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ', 'Combo Gà Rán Giòn 1P': '99.000đ'}"
Gà Rán Popeyes - Quốc Lộ 50,"411 Liên Tỉnh 5, P. 5, Quận 8, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9sbd9kqs0d@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/ga-ran-popeyes-quoc-lo-50,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'Combo PopWings 1P': '79.000đ', 'Combo PopWings 2P': '199.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Spicy Pop Wings': '79.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Red Hot Honey Pop Wings': '85.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Ăn Ngon Rẻ - Gà Popcorn': '25.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ', 'Combo Gà Rán Giòn 1P': '99.000đ'}"
Gà Rán Popeyes - Quốc Lộ 50,"411 Liên Tỉnh 5, P. 5, Quận 8, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9sbd9kqs0d@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/ga-ran-popeyes-quoc-lo-50,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'Combo PopWings 1P': '79.000đ', 'Combo PopWings 2P': '199.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Spicy Pop Wings': '79.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Red Hot Honey Pop Wings': '85.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Ăn Ngon Rẻ - Gà Popcorn': '25.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ', 'Combo Gà Rán Giòn 1P': '99.000đ'}"
Gà Rán Popeyes - Quốc Lộ 50,"411 Liên Tỉnh 5, P. 5, Quận 8, TP. HCM",,Flash Sale,,{}
Gà Rán Popeyes - Phú Mỹ Hưng,"62 Nguyễn Đức Cảnh, P. Tân Phong, Quận 7, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9iojd2zy35@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/popeyes-phu-my-hung,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'COMBO CHÀO HÈ - GIẢM 36%': '103.000đ', 'Combo PopWings 1P': '79.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Spicy Pop Wings': '79.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Combo PopWings 2P': '199.000đ', 'Red Hot Honey Pop Wings': '85.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Ăn Ngon Rẻ - Gà Popcorn': '25.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ'}"
Gà Rán Popeyes - Phú Mỹ Hưng,"62 Nguyễn Đức Cảnh, P. Tân Phong, Quận 7, TP. HCM",,Flash Sale,,{}
Gà Rán Popeyes - CN1,"68 Đường CN1, P. Sơn Kỳ, Tân Phú, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9tvyyqtg06@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/ga-ran-popeyes-cn1,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'COMBO CHÀO HÈ - GIẢM 36%': '103.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'Combo PopWings 1P': '79.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Spicy Pop Wings': '79.000đ', 'Combo PopWings 2P': '199.000đ', 'Red Hot Honey Pop Wings': '85.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Ăn Ngon Rẻ - Gà Popcorn': '25.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ'}"
Gà Rán Popeyes - CN1,"68 Đường CN1, P. Sơn Kỳ, Tân Phú, TP. HCM",,Flash Sale,,{}
Gà Rán Popeyes - Nguyễn Văn Luông,"500C Nguyễn Văn Luông, P. 12, Quận 6, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9mjjpp38d3@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/ga-ran-popeyes-nguyen-van-luong,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'COMBO CHÀO HÈ - GIẢM 36%': '103.000đ', 'Combo PopWings 1P': '79.000đ', 'Spicy Pop Wings': '79.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Combo PopWings 2P': '199.000đ', 'Red Hot Honey Pop Wings': '85.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ', 'Combo Gà Rán Giòn 1P': '99.000đ', 'Combo Gà Rán Giòn 2P': '175.000đ'}"
Gà Rán Popeyes - Nguyễn Văn Luông,"500C Nguyễn Văn Luông, P. 12, Quận 6, TP. HCM",,Flash Sale,,{}
Gà Rán Popeyes - Huỳnh Tấn Phát,"1335 Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9qnprolg20@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/ga-ran-popeyes-huynh-tan-phat,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'COMBO CHÀO HÈ - GIẢM 36%': '103.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'Combo PopWings 1P': '79.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Spicy Pop Wings': '79.000đ', 'Combo PopWings 2P': '199.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Red Hot Honey Pop Wings': '85.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ', 'Combo Gà Rán Giòn 1P': '99.000đ', 'Gà Rán Giòn - 2 miếng': '77.000đ'}"
Gà Rán Popeyes - Huỳnh Tấn Phát,"1335 Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, TP. HCM",,Flash Sale,,{}
Gà Rán Popeyes - Nguyễn Duy Trinh,"359 Nguyễn Duy Trinh, KP. 6, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",https://down-spe-vn.img.susercontent.com/vn-11134513-7ra0g-m87l9vhonozo73@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/ga-ran-popeyes-nguyen-duy-trinh,"{'COMBO 1 BURGER/ 1 MÌ Ý + 1 NƯỚC': '42.000đ', 'Combo 5 món chỉ 109k': '109.000đ', 'COMBO CHÀO HÈ - GIẢM 36%': '103.000đ', 'Combo PopWings 1P': '79.000đ', 'Spicy Pop Wings': '79.000đ', 'Honey Lemon Pepper Pop Wings': '85.000đ', 'Cajun Teriyaki Pop Wings': '85.000đ', 'Combo PopWings 2P': '199.000đ', 'Combo PopWings 3P': '309.000đ', 'POPEYES - Mua 1 Được 2': '270.000đ', 'Gà Rán Giòn - 1 miếng': '39.000đ', 'Combo Gà Rán Giòn 1P': '99.000đ', 'Combo Gà Rán Giòn 2P': '175.000đ', 'Gà Rán Giòn - 2 miếng': '77.000đ'}"
Gà Rán Popeyes - Nguyễn Duy Trinh,"359 Nguyễn Duy Trinh, KP. 6, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",,Flash Sale,,{}
